time,current,volume,high,low,money,position,a1_p,b1_p,a1_v,b1_v,contract_code
2.02209E+13,0.9441,45,0.9441,0.9063,416666,74,0.9511,0.9396,10,10,10004497.XSHG
2.02209E+13,0.9462,46,0.9462,0.9063,426128,75,0.949,0.9448,10,10,10004497.XSHG
2.02209E+13,0.943,47,0.9462,0.9063,435558,75,0.943,0.9406,1,10,10004497.XSHG
2.02209E+13,0.9384,48,0.9462,0.9063,444942,76,0.9405,0.9373,10,10,10004497.XSHG
2.02209E+13,0.9509,49,0.9509,0.9063,454451,77,0.9532,0.9492,10,13,10004497.XSHG
2.02209E+13,0.9536,51,0.9536,0.9063,473523,77,0.9571,0.9518,10,10,10004497.XSHG
2.02209E+13,0.9536,52,0.9536,0.9063,483059,78,0.957,0.9528,20,10,10004497.XSHG
2.02209E+13,0.9532,53,0.9536,0.9063,492591,79,0.9566,0.9524,10,10,10004497.XSHG
2.02209E+13,0.9485,54,0.9536,0.9063,502076,80,0.9513,0.9466,10,10,10004497.XSHG
2.02209E+13,0.9695,65,0.9695,0.9063,608661,80,0.9728,0.9682,10,10,10004497.XSHG
2.02209E+13,0.9658,66,0.9695,0.9063,618319,81,0.9699,0.9623,10,3,10004497.XSHG
2.02209E+13,0.9698,67,0.9698,0.9063,628017,82,0.9742,0.9691,10,10,10004497.XSHG
2.02209E+13,0.9761,68,0.9761,0.9063,637778,83,0.9792,0.9742,10,10,10004497.XSHG
2.02209E+13,0.9683,78,0.9761,0.9063,734608,93,0.971,0.9669,10,10,10004497.XSHG
2.02209E+13,0.963,79,0.9761,0.9063,744238,94,0.9672,0.9616,10,10,10004497.XSHG
2.02209E+13,0.9563,80,0.9761,0.9063,753801,95,0.9592,0.9554,10,10,10004497.XSHG
2.02209E+13,0.9671,81,0.9761,0.9063,763472,94,0.971,0.9667,10,20,10004497.XSHG
2.02209E+13,0.9608,82,0.9761,0.9063,773080,95,0.9658,0.9597,10,10,10004497.XSHG
2.02209E+13,0.9556,83,0.9761,0.9063,782636,96,0.9585,0.955,10,10,10004497.XSHG
2.02209E+13,0.9554,84,0.9761,0.9063,792190,95,0.9593,0.9554,10,2,10004497.XSHG
2.02209E+13,0.9434,85,0.9761,0.9063,801624,96,0.946,0.9419,10,10,10004497.XSHG
2.02209E+13,0.9333,87,0.9761,0.9063,820290,98,0.9366,0.9318,10,10,10004497.XSHG
2.02209E+13,0.9184,89,0.9761,0.9063,838658,100,0.9189,0.9159,10,13,10004497.XSHG
2.02209E+13,0.9158,90,0.9761,0.9063,847816,100,0.9208,0.9158,10,3,10004497.XSHG
2.02209E+13,0.916,91,0.9761,0.9063,856976,101,0.916,0.9139,1,10,10004497.XSHG
2.02209E+13,0.9107,92,0.9761,0.9063,866083,101,0.9107,0.9054,19,10,10004497.XSHG
2.02209E+13,0.9165,93,0.9761,0.9063,875248,102,0.9197,0.9147,10,10,10004497.XSHG
2.02209E+13,0.9241,94,0.9761,0.9063,884489,101,0.929,0.9241,10,2,10004497.XSHG
2.02209E+13,0.931,95,0.9761,0.9063,893799,100,0.9362,0.931,10,22,10004497.XSHG
2.02209E+13,0.916,96,0.9761,0.9063,902959,101,0.9179,0.9136,10,10,10004497.XSHG
2.02209E+13,0.909,98,0.9761,0.9063,921139,103,0.9107,0.9069,10,10,10004497.XSHG
2.02209E+13,0.9122,99,0.9761,0.9063,930261,104,0.9162,0.9114,10,10,10004497.XSHG
2.02209E+13,0.9131,100,0.9761,0.9063,939392,105,0.9131,0.9103,1,10,10004497.XSHG
2.02209E+13,0.901,103,0.9761,0.901,966422,105,0.9055,0.9006,10,10,10004497.XSHG
2.02209E+13,0.905,104,0.9761,0.901,975472,106,0.905,0.9036,1,10,10004497.XSHG
2.02209E+13,0.9036,107,0.9761,0.901,1002580,109,0.9049,0.9036,10,7,10004497.XSHG
2.02209E+13,0.9036,110,0.9761,0.901,1029688,112,0.905,0.9036,11,4,10004497.XSHG
2.02209E+13,0.9036,111,0.9761,0.901,1038724,113,0.9049,0.9036,10,3,10004497.XSHG
2.02209E+13,0.9036,112,0.9761,0.901,1047760,114,0.9063,0.9036,10,2,10004497.XSHG
2.02209E+13,0.9036,113,0.9761,0.901,1056796,115,0.9057,0.9036,10,1,10004497.XSHG
2.02209E+13,0.9036,114,0.9761,0.901,1065832,116,0.9054,0.9008,10,10,10004497.XSHG
2.02209E+13,0.9266,1,0.9266,0.9266,9266,106,0.9322,0.9061,21,10,10004497.XSHG
2.02209E+13,0.906,21,0.9266,0.906,190476,126,0.9031,0.8991,10,10,10004497.XSHG
2.02209E+13,0.9032,26,0.9266,0.9032,235636,126,0.9061,0.8749,10,10,10004497.XSHG
2.02209E+13,0.8841,49,0.9266,0.8841,439113,103,0.9003,0.8782,10,10,10004497.XSHG
2.02209E+13,0.8821,59,0.9266,0.8821,527323,103,0.882,0.8729,10,3,10004497.XSHG
2.02209E+13,0.873,62,0.9266,0.873,553513,100,0.873,0.8727,7,10,10004497.XSHG
